imgCount,embedCount,pCount,wordCount,successFail
23,3,97,2703,SUCCESS
37,0,55,781,SUCCESS
5,1,21,845,SUCCESS
30,0,35,696,SUCCESS
2,0,24,431,FAIL
4,0,32,564,SUCCESS
58,0,127,3356,SUCCESS
8,0,31,581,SUCCESS
11,1,56,1424,SUCCESS
4,0,26,350,SUCCESS
53,0,133,2970,SUCCESS
20,0,27,771,SUCCESS
20,5,48,1640,SUCCESS
22,2,71,1564,SUCCESS
47,1,103,4405,SUCCESS
5,0,16,638,SUCCESS
63,1,34,1194,SUCCESS
17,3,15,572,SUCCESS
18,0,45,825,SUCCESS
15,0,69,1466,SUCCESS
52,3,68,1366,SUCCESS
18,0,65,2918,SUCCESS
13,0,72,1652,SUCCESS
50,3,113,4946,SUCCESS
58,13,86,2519,SUCCESS
46,8,83,2583,SUCCESS
24,6,48,981,SUCCESS
28,2,57,1569,SUCCESS
24,0,72,3061,SUCCESS
57,2,45,1627,SUCCESS
36,6,33,1370,SUCCESS
17,5,28,652,SUCCESS
16,2,44,801,SUCCESS
20,2,48,1260,SUCCESS
14,0,30,787,SUCCESS
67,0,97,3626,SUCCESS
16,0,63,2297,SUCCESS
36,0,84,1795,SUCCESS
7,0,48,833,SUCCESS
30,0,78,2139,SUCCESS
11,0,32,1141,SUCCESS
30,5,92,3099,SUCCESS
18,4,52,1341,SUCCESS
34,6,63,2460,SUCCESS
32,9,83,2002,SUCCESS
16,2,38,640,SUCCESS
3,0,73,1465,FAIL
6,0,24,514,SUCCESS
102,0,113,2146,FAIL
21,0,75,1911,SUCCESS
10,0,24,491,SUCCESS
26,0,85,1623,FAIL
3,0,23,437,SUCCESS
1,0,32,1317,SUCCESS
8,0,39,867,SUCCESS
58,0,150,3273,SUCCESS
8,2,26,661,SUCCESS
8,0,24,435,SUCCESS
6,0,76,1309,SUCCESS
13,2,15,347,SUCCESS
29,9,32,912,SUCCESS
6,0,35,664,SUCCESS
60,0,21,267,SUCCESS
11,2,30,168,FAIL
21,0,45,590,SUCCESS
30,0,71,1970,SUCCESS
0,0,27,733,SUCCESS
42,5,34,925,FAIL
6,0,29,794,SUCCESS
4,0,56,1768,SUCCESS
22,2,34,1371,SUCCESS
3,0,28,415,SUCCESS
24,1,63,1690,SUCCESS
12,0,46,809,SUCCESS
2,0,18,332,SUCCESS
76,0,33,726,SUCCESS
29,6,24,644,SUCCESS
